Provincia;Localidad;Dirección;Margen;Toma de datos;Precio;Rótulo;Tipo Venta;Rem.;Horario
MADRID;MADRID;BARRIO CENTRO-EMBAJADORES, 83;I;17/02/2015;1,229;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;C/ CAMPEZO, 7 km CENTRO COMERCIAL M;N;20/02/2015;1,149;SHELL;P;OM;"L-S: 06:30-22:00; D: 09:00-20:00"
MADRID;MADRID;CALLE ABETAL, 8;D;23/02/2015;1,224;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CALLE ADOLFO BIOY CASARES 2, 2;N;23/02/2015;1,219;CARREFOUR;P;dm;L-D: 24H
MADRID;MADRID;CALLE AGUACATE, 45;N;17/02/2015;1,199;BP ISLA AZUL;P;dm;L-D: 24H
MADRID;MADRID;CALLE ALBERTO AGUILERA, 18;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CALLE ALBERTO AGUILERA, 9;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CALLE ALCALA, 415;I;21/02/2015;1,234;CEPSA;P;OM;"L-V: 07:00-21:30; S: 08:00-14:30"
MADRID;MADRID;CALLE ALHAMBRA, 70;D;23/02/2015;1,219;REPSOL;P;OM;"L-S: 07:00-21:00; D: 09:00-14:00"
MADRID;MADRID;CALLE ALMAGRO, 9;D;23/02/2015;1,209;CAMPSA;P;OM;L-D: 08:00-20:00
MADRID;MADRID;CALLE ALTO DEL RETIRO, 2;N;23/02/2015;1,219;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CALLE ANTONIO LÓPEZ, 8;D;23/02/2015;1,229;COMERCIAL SAMA;P;dm;L-D: 24H
MADRID;MADRID;CALLE ANTONIO MACHADO, S/N;D;19/02/2015;1,239;CEPSA;P;OM;L-S: 07:00-21:00
MADRID;MADRID;CALLE AVENIDA DE LOS POBLADOS, 167;D;23/02/2015;1,217;STAR PETROLEUM;P;dm;L-D: 24H
MADRID;MADRID;CALLE BERLIN, S/N, S/N;D;21/02/2015;1,234;CEPSA;P;OM;L-D: 07:00-21:30
MADRID;MADRID;CALLE BRAVO MURILLO, 012;I;23/02/2015;1,229;REPSOL;P;OM;"L-V: 07:30-20:30; S: 08:00-14:00"
MADRID;MADRID;CALLE BRAVO MURILLO, 229;N;23/02/2015;1,224;GALP;P;OM;L-D: 24H
MADRID;MADRID;CALLE BRAVO MURILLO, 358;N;23/02/2015;1,186;SARAS ENERGIA;P;OM;L-D: 07:00-23:00
MADRID;MADRID;CALLE CALDERILLA, 1;I;23/02/2015;1,119;E.LECLERC;P;dm;L-D: 24H
MADRID;MADRID;CALLE CARDENAL HERRERA ORIA, 81;I;23/02/2015;1,239;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;CALLE CARRETERA VICALVARO-RIVAS, 52;I;23/02/2015;1,175;LOW PRICE BUSINESS(LPB);P;dm;L-D: 24H
MADRID;MADRID;CALLE CAVANILLES, 58;D;20/02/2015;1,219;CEPSA;P;OM;"L-V: 07:30-21:00; S: 08:00-21:00; D: 08:30-14:45"
MADRID;MADRID;CALLE CEA BERMUDEZ, 32;N;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CALLE CERRO DEL MURMULLO, 1;N;23/02/2015;1,169;BALLENOIL;P;dm;L-D: 24H
MADRID;MADRID;CALLE CLARA DEL REY, 47;D;23/02/2015;1,219;REPSOL;P;OM;"L-V: 08:00-21:00; S: 08:00-14:00"
MADRID;MADRID;CALLE COLOMBIA, 15;N;23/02/2015;1,229;SHELL;P;dm;L-D: 06:30-22:30
MADRID;MADRID;CALLE CORAZON DE MARIA, 11;D;21/02/2015;1,234;CEPSA;P;OM;"L-V: 07:00-22:00; S: 08:00-15:00"
MADRID;MADRID;CALLE CORAZON DE MARIA, 76;N;18/02/2015;1,239;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;CALLE DOCTOR GOMEZ ULLA, S/N;D;23/02/2015;1,219;REPSOL;P;OM;"L-V: 07:00-21:00; S: 08:00-14:30; D: 09:00-15:00"
MADRID;MADRID;CALLE FRANCISCO UMBRAL, 2;N;23/02/2015;1,216;SHELL;P;OM;L-D: 24H
MADRID;MADRID;CALLE FRANCOS RODRIGUEZ, SN;D;23/02/2015;1,219;CAMPSA;P;OM;L-S: 07:30-21:30
MADRID;MADRID;CALLE FUENTE CARRANTONA S/N, 6;D;23/02/2015;1,209;REPSOL;P;OM;L-S: 00:07-00:21
MADRID;MADRID;CALLE HERNANDEZ TEJADA, S/N ESQ. AGASTIA, S/N (A-2 KM 5,1), S,N;D;23/02/2015;1,234;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;CALLE JOSE PAULETE,;N;23/02/2015;1,129;ALCAMPO;P;dm;L-D: 24H
MADRID;MADRID;CALLE LOPEZ DE HOYOS, 327;N;23/02/2015;1,219;REPSOL;P;OM;"L-V: 07:30-21:30; S: 08:00-15:00"
MADRID;MADRID;CALLE MARIA DE PORTUGAL, 15;N;20/02/2015;1,234;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;CALLE MARTINEZ DE LA RIVA, 119;D;23/02/2015;1,209;REPSOL;P;OM;L-S: 07:00-22:00
MADRID;MADRID;CALLE OFELIA NIETO, 64;D;23/02/2015;1,219;SEGASA;P;dm;L-D: 24H
MADRID;MADRID;CALLE OFELIA NIETO, 65;I;19/02/2015;1,219;CEPSA;P;OM;"L-V: 07:30-21:30; S: 08:00-14:00"
MADRID;MADRID;CALLE PRINCIPE DE VERGARA, 134;D;23/02/2015;1,209;REPSOL;P;OM;"L-V: 07:00-22:00; S: 08:00-15:00"
MADRID;MADRID;CALLE RAMON Y CAJAL, 2;D;23/02/2015;1,209;REPSOL;P;OM;"L-V: 07:30-21:00; S: 08:30-14:45"
MADRID;MADRID;CALLE REAL DE ARGANDA, 74;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CALLE REAL, 2;N;23/02/2015;1,199;BP CARABANCHEL;P;OM;L-D: 24H
MADRID;MADRID;CALLE SANTA ENGRACIA, 82;N;23/02/2015;1,229;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;CALLE SANTA GENOVEVA, 26;D;21/02/2015;1,234;CEPSA;P;OM;L-S: 07:00-21:00
MADRID;MADRID;CALLE SANTO DOMINGO, 10;D;23/02/2015;1,222;SHELL;P;OM;L-D: 24H
MADRID;MADRID;CALLE SEGOVIA C/V A PASEO VIRGEN DEL PUERTO, S/N;N;20/02/2015;1,219;CEPSA;P;OM;"L-S: 07:00-22:00; D: 08:00-14:00"
MADRID;MADRID;CALLE SERRANO, 197;N;18/02/2015;1,229;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;CALLE SESEÑA, 40;D;23/02/2015;1,225;STAR PETROLEUM;P;dm;L-D: 24H
MADRID;MADRID;CALLE SINESIO DELGADO, 15;N;23/02/2015;1,222;GALP;P;OM;L-D: 24H
MADRID;MADRID;CALLE TOMAS REDONDO, 10;N;23/02/2015;1,219;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CALLE VALLE DE TOBALINA, 24;D;23/02/2015;1,179;BALLENOIL;P;dm;L-D: 24H
MADRID;MADRID;CALLE VIRGEN DE LLUC ,14, 14;D;23/02/2015;1,229;CAMPSA ACTUALIZACION 15/OCTUBRE/2007;P;OM;L-S: 07:00-21:00
MADRID;MADRID;CARRERA VALENCIA, KM, 14,800;D;23/02/2015;1,199;SHELL;P;OM;L-D: 05:00-23:00
MADRID;MADRID;CARRETERA 403 KM. 2;D;23/02/2015;1,188;SHELL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;CARRETERA A 42 KM. 5,9;N;18/02/2015;1,199;BP CHEYPER;P;dm;L-D: 24H
MADRID;MADRID;CARRETERA CARRETERA VICALVARO-RIVAS KM. 3,600;D;23/02/2015;1,175;LOW PRICE BUSINESS(LPB);P;dm;L-D: 24H
MADRID;MADRID;CARRETERA COLMENAR VIEJO KM. 10,5;D;22/02/2015;1,245;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CARRETERA COLMENAR VIEJO KM. 10,5;I;22/02/2015;1,245;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CARRETERA DE LA CORUÑA KM 12 KM.;I;22/02/2015;1,249;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CARRETERA M-203 KM. 0,28;I;23/02/2015;1,209;REPSOL;P;OM;L-D: 07:00-23:30
MADRID;MADRID;CARRETERA M-203 KM. 0,28;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;CARRETERA M-602 KM. 1,3;I;23/02/2015;1,214;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CARRETERA M-605 KM. 5;D;21/02/2015;1,239;CEPSA;P;OM;L-D: 07:00-23:00
MADRID;MADRID;CARRETERA M-605 KM. 5;I;21/02/2015;1,239;CEPSA;P;OM;L-D: 07:00-23:00
MADRID;MADRID;CARRETERA M-607 KM. 13;D;20/02/2015;1,229;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;CARRETERA N-III KM. 11,8;N;16/02/2015;1,138;GHC;P;dm;L-D: 24H
MADRID;MADRID;CARRETERA VICALVARO A ESTACION DE O`DONNELL KM. 22;D;23/02/2015;1,179;BALLENOIL;P;dm;L-D: 24H
MADRID;MADRID;CL ALCALA, 510;D;23/02/2015;1,239;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL ANCORA 39;D;19/02/2015;1,229;CAMPSA;P;dm;"L-V: 07:00-21:00; S: 08:00-14:00"
MADRID;MADRID;CL ANTONIO LOPEZ, 244;D;23/02/2015;1,219;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL ARTURO SORIA, 175;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL AVDA .ALFONSO XIII ESQ.C/ COSTA;D;23/02/2015;1,234;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL AVENIDA ALBUFERA, 319;N;23/02/2015;1,249;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL AVENIDA GENERAL, 22;D;23/02/2015;1,199;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL AVENIDA PIO XII, 98;D;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CL CARRETERA CANILLAS, 150;D;23/02/2015;1,216;SHELL;P;OM;L-D: 24H
MADRID;MADRID;CL GENERAL YAGUE, S.N.;D;23/02/2015;1,209;CAMPSA;P;OM;L-D: 08:00-20:00
MADRID;MADRID;CL GL.CORREGIDOR SANCHO DE CORD, S.;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CL MARIA DE MOLINA, 21;N;23/02/2015;1,227;REPSOL;P;dm;L-D: 24H
